idx, row, column, demarcated, area, solidity, eccentricity, equivalent_diameter, perimeter, degree, strength, betweenness
292, 987, 4103, False, 677.0000, 0.9377, 0.8116, 29.3595, 107.5685, 144.0000, 130.1847, 0.0000
293, 1004, 6350, False, 2158.0000, 0.9814, 0.6738, 52.4180, 176.5097, 26.0000, 18.8059, 0.0000
294, 998, 3722, False, 637.0000, 0.9565, 0.7493, 28.4790, 105.1543, 166.0000, 152.4873, 0.0000
295, 996, 3662, False, 810.0000, 0.9818, 0.8639, 32.1142, 112.4264, 164.0000, 150.2864, 0.0000
296, 1009, 4434, False, 1344.0000, 0.9767, 0.4841, 41.3671, 138.7107, 111.0000, 98.5144, 0.0000
297, 1024, 3206, False, 2493.0000, 0.9734, 0.7948, 56.3399, 195.2376, 107.0000, 95.7886, 0.0000
298, 1008, 3550, False, 473.0000, 0.9256, 0.8728, 24.5406, 93.4975, 148.0000, 134.7423, 0.0000
299, 1084, 12175, False, 8245.0000, 0.9417, 0.9314, 102.4591, 418.1909, 41.0000, 35.3423, 0.0000
300, 1056, 3088, False, 4797.0000, 0.8928, 0.6998, 78.1520, 299.8650, 101.0000, 89.6963, 0.0000
301, 1026, 4210, False, 1511.0000, 0.9793, 0.4638, 43.8619, 143.6396, 137.0000, 123.7402, 0.0000
302, 1162, 6180, False, 26171.0000, 0.6109, 0.9308, 182.5430, 1031.2174, 22.0000, 14.3611, 0.0000
303, 1048, 1878, False, 2722.0000, 0.9805, 0.9062, 58.8707, 226.6934, 51.0000, 47.6198, 0.0000
304, 1199, 2534, False, 64314.0000, 0.8839, 0.7406, 286.1593, 1382.7220, 59.0000, 14.3018, 0.0408
305, 1033, 12079, False, 2329.0000, 0.9835, 0.6635, 54.4553, 183.3381, 40.0000, 36.9394, 0.0000
306, 1050, 3681, False, 5578.0000, 0.9857, 0.6632, 84.2741, 286.9361, 168.0000, 147.8211, 0.0000
307, 1024, 3730, False, 415.0000, 0.9606, 0.6203, 22.9868, 77.3553, 173.0000, 157.9508, 0.0000
308, 1052, 3344, False, 3328.0000, 0.9549, 0.8965, 65.0949, 251.5219, 119.0000, 107.7809, 0.0000
309, 1059, 4162, False, 3233.0000, 0.9706, 0.8282, 64.1590, 228.2082, 142.0000, 127.8218, 0.0000
310, 1124, 611, False, 6277.0000, 0.6192, 0.9153, 89.3987, 525.2803, 20.0000, 16.1305, 0.0000
311, 1059, 3466, False, 3016.0000, 0.9808, 0.7501, 61.9685, 212.8528, 141.0000, 128.5187, 0.0000
312, 1046, 4256, False, 1289.0000, 0.9670, 0.7085, 40.5118, 142.3675, 130.0000, 116.7778, 0.0000
313, 1135, 9558, False, 7255.0000, 0.7393, 0.9721, 96.1111, 496.9777, 25.0000, 20.7299, 0.0000
314, 1060, 836, False, 1083.0000, 0.9704, 0.9176, 37.1338, 141.0122, 28.0000, 20.7698, 0.0000
315, 1067, 3416, False, 3385.0000, 0.9614, 0.7583, 65.6499, 232.2082, 132.0000, 119.4185, 0.0000
316, 1514, 8255, False, 228689.0000, 0.8290, 0.8212, 539.6072, 2789.4957, 61.0000, 0.6696, 0.0495
317, 1064, 9452, False, 2246.0000, 0.9821, 0.6817, 53.4761, 179.4386, 29.0000, 22.7038, 0.0000
